,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,tenure_range,monthlycharges_range
15,Female,0,Yes,Yes,69,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,70809050.01040909,No,61 - 72,101 - 120
16,Female,0,No,No,52,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.649999618530273,10002020.0905,No,49 - 60,21 - 40
17,Male,0,No,Yes,71,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.6999969482422,70308020.0205,No,61 - 72,101 - 120
18,Female,0,Yes,Yes,10,Yes,No,Yes,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.20000076293945,502080.0304090907,Yes,1 - 12,41 - 60
19,Female,0,No,No,21,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05000305175781,10806020.09,No,13 - 24,81 - 100
20,Male,1,No,No,1,No,No,Yes,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.650001525878906,3090.060500000001,Yes,1 - 12,41 - 60
21,Male,0,Yes,No,12,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),19.799999237060547,200020.0205,No,1 - 12,1 - 20
22,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.149999618530273,2000.010409090909,Yes,1 - 12,21 - 40
23,Female,0,Yes,No,58,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9000015258789,30500050.01,No,49 - 60,61 - 80
24,Male,0,Yes,Yes,49,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.599998474121094,20907000.03,No,49 - 60,61 - 80
25,Female,0,No,No,30,Yes,No,Yes,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.29999923706055,10503000.05090909,No,25 - 36,41 - 60
26,Male,0,Yes,Yes,47,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.3499984741211,40704090.01040909,Yes,37 - 48,101 - 120
27,Male,0,Yes,Yes,1,No,No,Yes,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.20000076293945,3000.02,Yes,1 - 12,21 - 40
28,Male,0,Yes,No,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,60306090.04050001,No,61 - 72,81 - 100
29,Female,0,No,Yes,17,Yes,No,Yes,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.69999694824219,10009030.00090909,Yes,13 - 24,61 - 80
30,Female,1,Yes,No,71,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.3499984741211,60706060.09050001,No,61 - 72,101 - 120
31,Male,1,Yes,No,2,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,108010.0604090909,No,1 - 12,81 - 100
32,Female,0,Yes,Yes,27,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15000152587889,10807040.04040909,No,25 - 36,61 - 80
33,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),20.200000762939453,2000.02,No,1 - 12,21 - 40
34,Male,1,No,No,1,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,4050.0205,No,1 - 12,41 - 60
35,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9000015258789,70205010.07000001,No,61 - 72,101 - 120
36,Male,0,No,No,5,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.69999694824219,301060.08090909093,Yes,1 - 12,61 - 80
37,Female,0,No,No,46,Yes,No,Yes,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.80000305175781,30504080.03,No,37 - 48,61 - 80
38,Male,0,No,No,34,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.3499984741211,30504090.0205,Yes,25 - 36,101 - 120
39,Female,0,No,No,11,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.8499984741211,10100050.040000001,Yes,1 - 12,101 - 120
40,Male,0,Yes,Yes,10,Yes,No,Yes,No,Yes,No,No,No,No,One year,No,Mailed check,49.54999923706055,407050.0700000001,No,1 - 12,41 - 60
41,Female,0,Yes,Yes,70,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.19999694824219,40807020.0305,No,61 - 72,61 - 80
42,Female,0,Yes,Yes,17,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.75,401080.0205,No,13 - 24,21 - 40
43,Female,0,No,No,63,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.8499984741211,40806010.04050001,No,61 - 72,81 - 100
44,Female,0,Yes,No,13,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.19999694824219,908010.0405000001,No,13 - 24,61 - 80
45,Female,0,No,No,49,Yes,Yes,Yes,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,30900060.06090909,No,49 - 60,81 - 100
46,Male,0,No,No,2,Yes,No,Yes,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,9070.0,No,1 - 12,41 - 60
47,Female,0,No,No,2,Yes,No,Yes,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6500015258789,104040.0104090909,Yes,1 - 12,81 - 100
48,Male,0,No,No,52,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,40201070.07090908,No,49 - 60,81 - 100
49,Female,0,Yes,Yes,69,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15000152587889,40205040.01,No,61 - 72,61 - 80
50,Female,1,No,No,43,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,30803080.0705,No,37 - 48,81 - 100
51,Female,0,No,No,15,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.0999984741211,10402060.040000001,Yes,13 - 24,101 - 120
52,Female,1,Yes,No,25,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,10705020.0605,No,25 - 36,61 - 80
53,Female,1,Yes,No,8,Yes,Yes,Yes,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.6500015258789,603030.0209090908,Yes,1 - 12,81 - 100
54,Female,1,Yes,Yes,60,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.8499984741211,40405060.0305,No,49 - 60,61 - 80
55,Male,1,No,No,18,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.4499969482422,10705020.0505,Yes,13 - 24,81 - 100
56,Female,0,Yes,Yes,63,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.6500015258789,60301010.02000001,No,61 - 72,101 - 120
57,Male,1,Yes,Yes,66,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.4499969482422,70007060.0305,No,61 - 72,101 - 120
58,Female,0,Yes,Yes,34,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),24.95000076293945,809040.0209090908,No,25 - 36,21 - 40
59,Female,0,No,No,72,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,70805030.07000001,No,61 - 72,101 - 120
60,Female,0,Yes,No,47,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,40700070.01,No,37 - 48,101 - 120
61,Male,0,No,No,60,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9000015258789,50405000.07000001,No,49 - 60,81 - 100
62,Male,0,Yes,No,72,No,No,Yes,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.099998474121094,20906020.0,No,61 - 72,41 - 60
63,Female,0,Yes,Yes,18,Yes,No,Yes,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4000015258789,905070.0009090907,No,13 - 24,41 - 60
64,Female,0,No,No,9,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4000015258789,805070.0205,Yes,1 - 12,81 - 100
65,Female,0,No,No,3,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.30000305175781,204040.01,No,1 - 12,61 - 80
66,Male,0,Yes,No,47,Yes,Yes,Yes,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9000015258789,30605000.030500002,No,37 - 48,81 - 100
67,Female,0,No,No,31,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.19999694824219,20409070.01090909,No,25 - 36,81 - 100
68,Female,0,Yes,Yes,50,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.149999618530273,903000.0900000002,No,49 - 60,21 - 40
69,Male,0,No,No,10,Yes,No,Yes,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.8499984741211,808070.0304090907,No,1 - 12,81 - 100
70,Male,0,No,No,1,Yes,No,Yes,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.04999923706055,4090.000409090909,No,1 - 12,41 - 60
71,Female,0,Yes,Yes,52,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,20.399999618530273,10009000.0605,No,49 - 60,21 - 40
72,Male,1,Yes,Yes,64,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.5999984741211,70009090.0,No,61 - 72,101 - 120
73,Male,0,Yes,Yes,62,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),24.25,10402040.05090909,No,61 - 72,21 - 40
74,Female,0,No,Yes,3,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,107070.0309090909,No,1 - 12,61 - 80
75,Female,1,No,No,56,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,60103090.05,No,49 - 60,101 - 120
76,Female,0,No,No,46,Yes,No,Yes,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.6500015258789,20608080.0805,No,37 - 48,41 - 60
77,Female,0,Yes,Yes,8,Yes,No,Yes,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.6500015258789,408020.0205,No,1 - 12,41 - 60
78,Male,1,No,No,30,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,20101010.03,No,25 - 36,61 - 80
79,Female,0,Yes,Yes,45,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),25.899999618530273,10201060.05090909,No,37 - 48,21 - 40
80,Female,0,No,Yes,1,Yes,No,Yes,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.3499984741211,7090.030409090908,Yes,1 - 12,81 - 100
81,Female,0,Yes,Yes,11,No,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.54999923706055,506050.0304090907,No,1 - 12,41 - 60
82,Female,0,Yes,No,7,Yes,No,Yes,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.1500015258789,409060.08090909093,Yes,1 - 12,61 - 80
83,Female,0,No,No,42,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8000030517578,40302070.05,No,37 - 48,101 - 120
84,Female,0,Yes,No,49,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),20.149999618530273,907030.0304090907,No,49 - 60,21 - 40
85,Male,0,No,No,9,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3000030517578,901080.0705,No,1 - 12,101 - 120
86,Female,0,Yes,No,35,Yes,No,Yes,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.1500015258789,20201050.04040909,No,25 - 36,61 - 80
87,Female,0,Yes,Yes,48,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.649999618530273,10005070.0,No,37 - 48,21 - 40
88,Female,0,Yes,Yes,46,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,19.950000762939453,902070.0009090907,No,37 - 48,1 - 20
89,Male,0,Yes,No,29,No,No,Yes,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,10000090.0205,No,25 - 36,21 - 40
90,Male,0,Yes,Yes,30,Yes,No,Yes,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05000305175781,20507000.01090909,No,25 - 36,81 - 100
91,Male,1,No,No,1,Yes,No,Yes,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.69999694824219,7040.0609090909065,No,1 - 12,61 - 80
92,Male,0,Yes,Yes,66,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,50701040.0205,No,61 - 72,81 - 100
93,Female,0,No,No,65,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.0500030517578,70100070.0,No,61 - 72,101 - 120
94,Male,0,No,No,72,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9000015258789,70405090.00040908,No,61 - 72,101 - 120
95,Female,0,No,No,12,Yes,Yes,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.94999694824219,902070.0304090907,Yes,1 - 12,81 - 100
96,Male,0,Yes,Yes,71,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.84999847412111,40704080.07000001,No,61 - 72,61 - 80
97,Male,0,No,No,5,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,21.049999237060547,101030.08040909091,Yes,1 - 12,21 - 40
98,Male,0,No,No,52,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),21.0,10100070.01090909,No,49 - 60,21 - 40
99,Female,1,Yes,No,25,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,20501040.05,Yes,25 - 36,101 - 120
100,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.200000762939453,2000.02,No,1 - 12,21 - 40
101,Female,0,Yes,Yes,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.450000762939453,1090.0405,No,1 - 12,1 - 20
102,Male,0,No,No,38,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,30600050.060000002,No,37 - 48,81 - 100
103,Female,1,Yes,No,66,No,No,Yes,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.54999923706055,30002070.0205,No,61 - 72,41 - 60
104,Male,0,Yes,No,68,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,70601010.0805,Yes,61 - 72,101 - 120
105,Male,0,No,No,5,No,No,Yes,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.29999923706055,100000.01090909091,No,1 - 12,21 - 40
106,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.1500015258789,70300030.00040908,No,61 - 72,101 - 120
107,Female,0,No,No,32,No,No,Yes,Yes,No,No,No,No,No,One year,No,Mailed check,30.149999618530273,902070.0605000003,No,25 - 36,21 - 40
108,Male,0,No,No,43,Yes,Yes,Yes,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.3499984741211,30902010.03,No,37 - 48,81 - 100
109,Male,0,Yes,Yes,72,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),19.399999618530273,10306030.0205,No,61 - 72,1 - 20
110,Male,0,Yes,No,55,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,50203080.08090909,Yes,49 - 60,101 - 120
111,Female,0,No,No,52,Yes,No,Yes,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95000076293945,30004020.0205,No,49 - 60,41 - 60
112,Female,0,No,No,43,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.6500015258789,30905040.01,No,37 - 48,81 - 100
113,Female,1,Yes,No,37,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,20806080.01040909,Yes,37 - 48,61 - 80
114,Female,0,Yes,Yes,64,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.599998474121094,30402030.05,No,61 - 72,41 - 60
115,Male,0,Yes,Yes,3,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.8499984741211,204080.0309090909,No,1 - 12,81 - 100
116,Female,0,No,No,36,No,No,Yes,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.04999923706055,10102060.03040909,No,25 - 36,21 - 40
117,Female,0,Yes,Yes,10,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,10006040.0605,Yes,1 - 12,101 - 120
118,Female,0,No,No,41,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,20.649999618530273,803050.0105000002,No,37 - 48,21 - 40
119,Male,0,Yes,Yes,27,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.19999694824219,20105010.060000002,No,25 - 36,81 - 100
120,Female,0,Yes,Yes,56,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.8000030517578,50501050.04050001,No,49 - 60,101 - 120
121,Female,0,No,No,6,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.700000762939453,101020.0705,No,1 - 12,21 - 40
122,Male,0,No,No,3,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4000015258789,202090.0505,Yes,1 - 12,61 - 80
123,Female,0,Yes,Yes,7,Yes,No,Yes,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.70000076293945,305000.0305,No,1 - 12,41 - 60
124,Female,0,Yes,Yes,4,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.850000381469727,6020.090000000001,No,1 - 12,21 - 40
125,Male,0,No,No,33,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,88.94999694824219,30002070.06040909,No,25 - 36,81 - 100
126,Female,1,No,No,27,Yes,Yes,Yes,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05000305175781,20103050.05,Yes,25 - 36,81 - 100
127,Male,0,Yes,No,72,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),23.54999923706055,10702030.09040909,No,61 - 72,21 - 40
128,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.75,1090.0705,No,1 - 12,1 - 20
129,Male,1,No,No,71,No,No,Yes,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,56.45000076293945,30908050.030500002,No,61 - 72,41 - 60
130,Female,0,No,No,13,Yes,Yes,Yes,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.94999694824219,10201050.0605,No,13 - 24,81 - 100
131,Female,0,Yes,Yes,25,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.599998474121094,10500020.0605,Yes,25 - 36,61 - 80
132,Male,0,No,No,67,Yes,No,Yes,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),50.54999923706055,30206000.01,No,61 - 72,41 - 60
133,Male,0,No,No,1,No,No,Yes,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45000076293945,3050.0405,Yes,1 - 12,21 - 40
134,Male,0,No,No,2,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.349998474121094,8010.0205,Yes,1 - 12,41 - 60
135,Female,0,No,No,43,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),25.70000076293945,10108080.01090909,No,37 - 48,21 - 40
136,Female,0,No,No,23,Yes,No,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.0,10707080.05,No,13 - 24,61 - 80
137,Female,0,Yes,Yes,64,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,20.200000762939453,10207070.0705,No,61 - 72,21 - 40
138,Male,0,No,Yes,57,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,19.600000381469727,10107000.0505,No,49 - 60,1 - 20
139,Female,1,Yes,No,1,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.44999694824219,7000.040409090906,Yes,1 - 12,61 - 80
140,Female,1,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.05000305175781,60402050.06040909,No,61 - 72,81 - 100
141,Female,0,No,No,8,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.1500015258789,506030.0605000002,Yes,1 - 12,61 - 80
142,Female,0,Yes,No,61,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101.0500030517578,50907010.0205,No,61 - 72,101 - 120
143,Male,0,No,No,64,Yes,Yes,Yes,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),84.30000305175781,50208090.00040908,No,61 - 72,81 - 100
144,Male,1,Yes,No,71,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),23.95000076293945,10705060.01090909,No,61 - 72,21 - 40
145,Female,0,Yes,Yes,65,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),99.0500030517578,60401060.07000001,No,61 - 72,101 - 120
146,Male,0,No,No,3,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,19.600000381469727,6010.030409090908,No,1 - 12,1 - 20
147,Male,0,No,No,1,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.6500015258789,4050.060500000001,Yes,1 - 12,41 - 60
148,Male,0,No,Yes,30,Yes,No,Yes,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),64.5,10902090.09040909,No,25 - 36,61 - 80
149,Male,0,Yes,Yes,15,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,69.5,10007010.040000001,No,13 - 24,61 - 80
150,Female,0,Yes,Yes,8,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,68.55000305175781,506040.0304090907,No,1 - 12,61 - 80
151,Male,0,No,No,7,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,605050.05,Yes,1 - 12,81 - 100
152,Female,0,Yes,Yes,70,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),108.1500015258789,70903000.05040908,No,61 - 72,101 - 120
153,Male,0,Yes,Yes,62,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,86.0999984741211,50201050.0205,No,61 - 72,81 - 100
154,Female,0,Yes,Yes,6,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.700000762939453,101030.05,No,1 - 12,1 - 20
155,Female,0,Yes,Yes,14,Yes,No,Yes,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.9000015258789,10105020.08,No,13 - 24,81 - 100
156,Female,0,No,No,22,Yes,Yes,Yes,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),84.1500015258789,10802010.09040909,No,13 - 24,81 - 100
157,Male,0,Yes,Yes,22,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.149999618530273,401090.08090909093,No,13 - 24,21 - 40
